#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
   28.500       -5.419291574       83961           2283230         13715299848
   28.600       -5.419291574       83975           2283386         13718646136
   28.700       -5.419291574       83989           2283542         13720772008
   28.800       -5.419291574       84003           2283698         13722897880
   28.900       -5.419291574       84017           2283854         13725023752
   29.000       -5.419291574       84031           2284010         13727149624
   29.100       -5.419291574       84045           2284166         13729275496
   29.200       -5.419291574       84059           2284322         13731401368
   29.300       -5.419291574       84073           2284478         13733527240
   29.400       -5.419291574       84087           2284634         13735653112
   29.500       -5.419291574       84101           2284790         13737778984
   29.600       -5.419291574       84115           2284946         13739904856
   29.700       -5.419291574       84129           2285102         13742030728
   29.800       -5.419291574       84141           2285234         13744156600
   29.900       -5.419291574       84153           2285366         13745978008
   30.000       -5.419291574       84163           2285474         13747799416
